mode,metric,k,l,d,alpha,index,real,pred,error
mean,l2,3,12,3,0.500000,3475,0.935294,0.872528,0.062766
mean,l2,3,12,3,0.500000,3476,0.920884,0.850285,0.070599
mean,l2,3,12,3,0.500000,3477,0.903539,0.893803,0.009736
mean,l2,3,12,3,0.500000,3478,0.882975,0.871590,0.011385
mean,l2,3,12,3,0.500000,3479,0.858906,0.845782,0.013124
mean,l2,3,12,3,0.500000,3480,0.831216,0.816486,0.014731
mean,l2,3,12,3,0.500000,3481,0.800471,0.772185,0.028286
mean,l2,3,12,3,0.500000,3482,0.767401,0.737454,0.029947
mean,l2,3,12,3,0.500000,3483,0.732740,0.701691,0.031049
mean,l2,3,12,3,0.500000,3484,0.697221,0.665662,0.031559
mean,l2,3,12,3,0.500000,3485,0.661576,0.618668,0.042908
mean,l2,3,12,3,0.500000,3486,0.626540,0.584848,0.041691
mean,l2,3,12,3,0.500000,3487,0.592843,0.553295,0.039548
mean,l2,3,12,3,0.500000,3488,0.561220,0.524771,0.036448
mean,l2,3,12,3,0.500000,3489,0.532402,0.499867,0.032535
mean,l2,3,12,3,0.500000,3490,0.506955,0.478472,0.028483
mean,l2,3,12,3,0.500000,3491,0.484767,0.460300,0.024467
mean,l2,3,12,3,0.500000,3492,0.465557,0.431000,0.034557
mean,l2,3,12,3,0.500000,3493,0.449045,0.423377,0.025668
mean,l2,3,12,3,0.500000,3494,0.434951,0.416999,0.017952
mean,l2,3,12,3,0.500000,3495,0.422996,0.411729,0.011266
mean,l2,3,12,3,0.500000,3496,0.412898,0.407432,0.005466
mean,l2,3,12,3,0.500000,3497,0.404377,0.403970,0.000407
mean,l2,3,12,3,0.500000,3498,0.397154,0.401207,0.004053
mean,l2,3,12,3,0.500000,3499,0.390949,0.403212,0.012263
mean,l2,3,12,3,0.500000,3500,0.385510,0.400227,0.014717
mean,l2,3,12,3,0.500000,3501,0.380709,0.397514,0.016805
mean,l2,3,12,3,0.500000,3502,0.376446,0.381196,0.004750
mean,l2,3,12,3,0.500000,3503,0.372623,0.382663,0.010040
mean,l2,3,12,3,0.500000,3504,0.369139,0.379793,0.010655
mean,l2,3,12,3,0.500000,3505,0.365895,0.376759,0.010864
mean,l2,3,12,3,0.500000,3506,0.362791,0.373552,0.010761
mean,l2,3,12,3,0.500000,3507,0.359730,0.370103,0.010373
mean,l2,3,12,3,0.500000,3508,0.356610,0.365266,0.008655
mean,l2,3,12,3,0.500000,3509,0.353334,0.367754,0.014420
mean,l2,3,12,3,0.500000,3510,0.349842,0.364219,0.014377
mean,l2,3,12,3,0.500000,3511,0.346240,0.360428,0.014188
mean,l2,3,12,3,0.500000,3512,0.342678,0.356419,0.013742
mean,l2,3,12,3,0.500000,3513,0.339301,0.352269,0.012968
mean,l2,3,12,3,0.500000,3514,0.336257,0.348062,0.011804
mean,l2,3,12,3,0.500000,3515,0.333694,0.341819,0.008125
mean,l2,3,12,3,0.500000,3516,0.331760,0.337530,0.005770
mean,l2,3,12,3,0.500000,3517,0.330602,0.333555,0.002953
mean,l2,3,12,3,0.500000,3518,0.330366,0.330022,0.000345
mean,l2,3,12,3,0.500000,3519,0.331202,0.327057,0.004145
mean,l2,3,12,3,0.500000,3520,0.333285,0.324788,0.008498
mean,l2,3,12,3,0.500000,3521,0.336913,0.323350,0.013563
mean,l2,3,12,3,0.500000,3522,0.342412,0.322927,0.019485
mean,l2,3,12,3,0.500000,3523,0.350107,0.323751,0.026356
mean,l2,3,12,3,0.500000,3524,0.360325,0.324529,0.035796
mean,l2,3,12,3,0.500000,3525,0.373391,0.328514,0.044877
mean,l2,3,12,3,0.500000,3526,0.389633,0.340649,0.048984
mean,l2,3,12,3,0.500000,3527,0.409376,0.349633,0.059742
mean,l2,3,12,3,0.500000,3528,0.432946,0.356126,0.076820
mean,l2,3,12,3,0.500000,3529,0.460669,0.383035,0.077634
mean,l2,3,12,3,0.500000,3530,0.492670,0.383435,0.109235
mean,l2,3,12,3,0.500000,3531,0.528268,0.403275,0.124994
mean,l2,3,12,3,0.500000,3532,0.566582,0.391570,0.175012
mean,l2,3,12,3,0.500000,3533,0.606729,0.412495,0.194233
mean,l2,3,12,3,0.500000,3534,0.647826,0.428386,0.219440
mean,l2,3,12,3,0.500000,3535,0.688992,0.468740,0.220252
mean,l2,3,12,3,0.500000,3536,0.729344,0.583409,0.145936
mean,l2,3,12,3,0.500000,3537,0.768001,0.617168,0.150834
mean,l2,3,12,3,0.500000,3538,0.804081,0.593773,0.210308
mean,l2,3,12,3,0.500000,3539,0.836700,0.615566,0.221134
mean,l2,3,12,3,0.500000,3540,0.865177,0.786675,0.078502
mean,l2,3,12,3,0.500000,3541,0.889630,0.813478,0.076152
mean,l2,3,12,3,0.500000,3542,0.910375,0.838370,0.072006
mean,l2,3,12,3,0.500000,3543,0.927732,0.836306,0.091426
mean,l2,3,12,3,0.500000,3544,0.942017,0.853841,0.088176
mean,l2,3,12,3,0.500000,3545,0.953548,0.956821,0.003273
mean,l2,3,12,3,0.500000,3546,0.962643,0.965281,0.002638
mean,l2,3,12,3,0.500000,3547,0.969619,0.971718,0.002099
mean,l2,3,12,3,0.500000,3548,0.974794,0.976456,0.001662
mean,l2,3,12,3,0.500000,3549,0.978485,0.979767,0.001282
mean,l2,3,12,3,0.500000,3550,0.980981,0.981924,0.000943
mean,l2,3,12,3,0.500000,3551,0.982452,0.982219,0.000232
mean,l2,3,12,3,0.500000,3552,0.983038,0.983112,0.000074
mean,l2,3,12,3,0.500000,3553,0.982881,0.983197,0.000316
mean,l2,3,12,3,0.500000,3554,0.982120,0.982608,0.000487
mean,l2,3,12,3,0.500000,3555,0.980897,0.981476,0.000579
mean,l2,3,12,3,0.500000,3556,0.979352,0.979935,0.000583
mean,l2,3,12,3,0.500000,3557,0.977627,0.978541,0.000914
mean,l2,3,12,3,0.500000,3558,0.975860,0.976742,0.000881
mean,l2,3,12,3,0.500000,3559,0.974195,0.974141,0.000053
mean,l2,3,12,3,0.500000,3560,0.972747,0.972578,0.000168
mean,l2,3,12,3,0.500000,3561,0.971541,0.970608,0.000933
mean,l2,3,12,3,0.500000,3562,0.970577,0.969453,0.001125
mean,l2,3,12,3,0.500000,3563,0.969858,0.968395,0.001464
mean,l2,3,12,3,0.500000,3564,0.969384,0.967538,0.001846
mean,l2,3,12,3,0.500000,3565,0.969156,0.964942,0.004214
mean,l2,3,12,3,0.500000,3566,0.969174,0.964191,0.004983
mean,l2,3,12,3,0.500000,3567,0.969441,0.966190,0.003250
mean,l2,3,12,3,0.500000,3568,0.969956,0.966151,0.003804
mean,l2,3,12,3,0.500000,3569,0.970721,0.966319,0.004402
mean,l2,3,12,3,0.500000,3570,0.971718,0.966683,0.005034
mean,l2,3,12,3,0.500000,3571,0.972854,0.968640,0.004213
mean,l2,3,12,3,0.500000,3572,0.974018,0.968903,0.005115
mean,l2,3,12,3,0.500000,3573,0.975099,0.969188,0.005910
mean,l2,3,12,3,0.500000,3574,0.975984,0.969656,0.006328
mean,l2,3,12,3,0.500000,3575,0.976564,0.976499,0.000065
mean,l2,3,12,3,0.500000,3576,0.976726,0.976630,0.000096
mean,l2,3,12,3,0.500000,3577,0.976359,0.975956,0.000403
mean,l2,3,12,3,0.500000,3578,0.975351,0.974584,0.000767
mean,l2,3,12,3,0.500000,3579,0.973591,0.972392,0.001199
mean,l2,3,12,3,0.500000,3580,0.970944,0.967934,0.003009
mean,l2,3,12,3,0.500000,3581,0.967174,0.963053,0.004121
mean,l2,3,12,3,0.500000,3582,0.962024,0.956591,0.005433
mean,l2,3,12,3,0.500000,3583,0.955234,0.948286,0.006948
mean,l2,3,12,3,0.500000,3584,0.946546,0.944614,0.001933
mean,l2,3,12,3,0.500000,3585,0.935702,0.933748,0.001954
mean,l2,3,12,3,0.500000,3586,0.922441,0.929414,0.006973
mean,l2,3,12,3,0.500000,3587,0.906507,0.895255,0.011251
mean,l2,3,12,3,0.500000,3588,0.887639,0.881158,0.006481
mean,l2,3,12,3,0.500000,3589,0.865580,0.868727,0.003147
mean,l2,3,12,3,0.500000,3590,0.840222,0.858837,0.018614
mean,l2,3,12,3,0.500000,3591,0.812067,0.816991,0.004924
mean,l2,3,12,3,0.500000,3592,0.781766,0.787420,0.005654
mean,l2,3,12,3,0.500000,3593,0.749973,0.756156,0.006183
mean,l2,3,12,3,0.500000,3594,0.717341,0.751638,0.034297
mean,l2,3,12,3,0.500000,3595,0.684521,0.718272,0.033751
mean,l2,3,12,3,0.500000,3596,0.652167,0.684541,0.032374
mean,l2,3,12,3,0.500000,3597,0.620931,0.630480,0.009549
mean,l2,3,12,3,0.500000,3598,0.591466,0.599170,0.007704
mean,l2,3,12,3,0.500000,3599,0.564425,0.560222,0.004203
mean,l2,3,12,3,0.500000,3600,0.540314,0.536134,0.004180
mean,l2,3,12,3,0.500000,3601,0.519060,0.514971,0.004089
mean,l2,3,12,3,0.500000,3602,0.500442,0.496502,0.003940
mean,l2,3,12,3,0.500000,3603,0.484240,0.480496,0.003744
mean,l2,3,12,3,0.500000,3604,0.470234,0.466722,0.003511
mean,l2,3,12,3,0.500000,3605,0.458203,0.454951,0.003252
mean,l2,3,12,3,0.500000,3606,0.447928,0.444951,0.002977
mean,l2,3,12,3,0.500000,3607,0.439189,0.436492,0.002697
mean,l2,3,12,3,0.500000,3608,0.431765,0.429343,0.002422
mean,l2,3,12,3,0.500000,3609,0.425436,0.423273,0.002163
mean,l2,3,12,3,0.500000,3610,0.420003,0.418073,0.001929
mean,l2,3,12,3,0.500000,3611,0.415342,0.413619,0.001723
mean,l2,3,12,3,0.500000,3612,0.411352,0.409879,0.001473
mean,l2,3,12,3,0.500000,3613,0.407932,0.406754,0.001178
mean,l2,3,12,3,0.500000,3614,0.404979,0.404032,0.000947
mean,l2,3,12,3,0.500000,3615,0.402391,0.401610,0.000780
mean,l2,3,12,3,0.500000,3616,0.400065,0.399386,0.000679
mean,l2,3,12,3,0.500000,3617,0.397901,0.396366,0.001535
mean,l2,3,12,3,0.500000,3618,0.395796,0.394363,0.001432
mean,l2,3,12,3,0.500000,3619,0.393647,0.392323,0.001324
mean,l2,3,12,3,0.500000,3620,0.391369,0.390155,0.001215
mean,l2,3,12,3,0.500000,3621,0.388940,0.387816,0.001124
mean,l2,3,12,3,0.500000,3622,0.386353,0.385297,0.001056
mean,l2,3,12,3,0.500000,3623,0.383601,0.382594,0.001007
mean,l2,3,12,3,0.500000,3624,0.380678,0.379704,0.000974
mean,l2,3,12,3,0.500000,3625,0.377578,0.376623,0.000954
mean,l2,3,12,3,0.500000,3626,0.374294,0.373348,0.000946
mean,l2,3,12,3,0.500000,3627,0.370819,0.369874,0.000945
mean,l2,3,12,3,0.500000,3628,0.367148,0.366198,0.000950
mean,l2,3,12,3,0.500000,3629,0.363274,0.362316,0.000958
mean,l2,3,12,3,0.500000,3630,0.359204,0.358235,0.000969
mean,l2,3,12,3,0.500000,3631,0.355004,0.354008,0.000996
mean,l2,3,12,3,0.500000,3632,0.350755,0.349724,0.001031
mean,l2,3,12,3,0.500000,3633,0.346535,0.345476,0.001059
mean,l2,3,12,3,0.500000,3634,0.342426,0.334795,0.007631
mean,l2,3,12,3,0.500000,3635,0.338506,0.331441,0.007065
mean,l2,3,12,3,0.500000,3636,0.334857,0.328454,0.006403
mean,l2,3,12,3,0.500000,3637,0.331557,0.325890,0.005666
mean,l2,3,12,3,0.500000,3638,0.328686,0.323809,0.004878
mean,l2,3,12,3,0.500000,3639,0.326326,0.322267,0.004059
mean,l2,3,12,3,0.500000,3640,0.324582,0.320513,0.004068
mean,l2,3,12,3,0.500000,3641,0.323671,0.320171,0.003500
mean,l2,3,12,3,0.500000,3642,0.323836,0.322056,0.001781
mean,l2,3,12,3,0.500000,3643,0.325322,0.324182,0.001140
mean,l2,3,12,3,0.500000,3644,0.328371,0.327821,0.000550
mean,l2,3,12,3,0.500000,3645,0.333228,0.336530,0.003302
mean,l2,3,12,3,0.500000,3646,0.340134,0.344400,0.004266
mean,l2,3,12,3,0.500000,3647,0.349335,0.354700,0.005364
mean,l2,3,12,3,0.500000,3648,0.361074,0.367685,0.006611
mean,l2,3,12,3,0.500000,3649,0.375594,0.382604,0.007010
mean,l2,3,12,3,0.500000,3650,0.393048,0.401151,0.008103
mean,l2,3,12,3,0.500000,3651,0.413231,0.422479,0.009248
mean,l2,3,12,3,0.500000,3652,0.435845,0.446248,0.010403
mean,l2,3,12,3,0.500000,3653,0.460594,0.472122,0.011528
mean,l2,3,12,3,0.500000,3654,0.487182,0.490533,0.003351
mean,l2,3,12,3,0.500000,3655,0.515312,0.518835,0.003523
mean,l2,3,12,3,0.500000,3656,0.544688,0.548331,0.003644
mean,l2,3,12,3,0.500000,3657,0.575012,0.586175,0.011162
mean,l2,3,12,3,0.500000,3658,0.605990,0.606840,0.000850
mean,l2,3,12,3,0.500000,3659,0.637323,0.638147,0.000824
mean,l2,3,12,3,0.500000,3660,0.668716,0.669499,0.000783
mean,l2,3,12,3,0.500000,3661,0.699878,0.695196,0.004682
mean,l2,3,12,3,0.500000,3662,0.730515,0.725677,0.004839
mean,l2,3,12,3,0.500000,3663,0.760337,0.755385,0.004952
mean,l2,3,12,3,0.500000,3664,0.789052,0.774487,0.014565
mean,l2,3,12,3,0.500000,3665,0.816367,0.802281,0.014086
mean,l2,3,12,3,0.500000,3666,0.841992,0.819781,0.022210
mean,l2,3,12,3,0.500000,3667,0.865634,0.844850,0.020784
mean,l2,3,12,3,0.500000,3668,0.887002,0.867947,0.019055
mean,l2,3,12,3,0.500000,3669,0.905804,0.881665,0.024138
mean,l2,3,12,3,0.500000,3670,0.921836,0.900866,0.020970
mean,l2,3,12,3,0.500000,3671,0.935243,0.911524,0.023719
mean,l2,3,12,3,0.500000,3672,0.946259,0.926485,0.019774
mean,l2,3,12,3,0.500000,3673,0.955116,0.938980,0.016137
mean,l2,3,12,3,0.500000,3674,0.962048,0.949208,0.012840
mean,l2,3,12,3,0.500000,3675,0.967288,0.960215,0.007073
mean,l2,3,12,3,0.500000,3676,0.971069,0.967753,0.003315
mean,l2,3,12,3,0.500000,3677,0.973623,0.971521,0.002102
mean,l2,3,12,3,0.500000,3678,0.975184,0.974086,0.001099
mean,l2,3,12,3,0.500000,3679,0.975986,0.975675,0.000311
mean,l2,3,12,3,0.500000,3680,0.976234,0.976739,0.000505
mean,l2,3,12,3,0.500000,3681,0.976032,0.976810,0.000778
mean,l2,3,12,3,0.500000,3682,0.975456,0.976448,0.000992
mean,l2,3,12,3,0.500000,3683,0.974583,0.975719,0.001136
mean,l2,3,12,3,0.500000,3684,0.973490,0.974691,0.001200
mean,l2,3,12,3,0.500000,3685,0.972254,0.973428,0.001175
mean,l2,3,12,3,0.500000,3686,0.970950,0.971999,0.001049
mean,l2,3,12,3,0.500000,3687,0.969656,0.970468,0.000812
mean,l2,3,12,3,0.500000,3688,0.968448,0.968903,0.000455
mean,l2,3,12,3,0.500000,3689,0.967403,0.967370,0.000034
mean,l2,3,12,3,0.500000,3690,0.966585,0.965931,0.000654
mean,l2,3,12,3,0.500000,3691,0.966003,0.964628,0.001375
mean,l2,3,12,3,0.500000,3692,0.965655,0.963468,0.002187
mean,l2,3,12,3,0.500000,3693,0.965539,0.962451,0.003088
mean,l2,3,12,3,0.500000,3694,0.965651,0.961577,0.004074
mean,l2,3,12,3,0.500000,3695,0.965988,0.960399,0.005589
mean,l2,3,12,3,0.500000,3696,0.966549,0.959900,0.006649
mean,l2,3,12,3,0.500000,3697,0.967329,0.959543,0.007786
mean,l2,3,12,3,0.500000,3698,0.968327,0.959185,0.009142
mean,l2,3,12,3,0.500000,3699,0.969539,0.959220,0.010319
mean,l2,3,12,3,0.500000,3700,0.970946,0.959371,0.011574
mean,l2,3,12,3,0.500000,3701,0.972457,0.959662,0.012795
mean,l2,3,12,3,0.500000,3702,0.973964,0.960089,0.013875
mean,l2,3,12,3,0.500000,3703,0.975361,0.960650,0.014711
mean,l2,3,12,3,0.500000,3704,0.976539,0.961343,0.015196
mean,l2,3,12,3,0.500000,3705,0.977392,0.961778,0.015614
mean,l2,3,12,3,0.500000,3706,0.977811,0.962681,0.015130
mean,l2,3,12,3,0.500000,3707,0.977690,0.967354,0.010336
mean,l2,3,12,3,0.500000,3708,0.976920,0.971357,0.005563
mean,l2,3,12,3,0.500000,3709,0.975394,0.974271,0.001123
mean,l2,3,12,3,0.500000,3710,0.972978,0.949477,0.023500
mean,l2,3,12,3,0.500000,3711,0.969423,0.939110,0.030313
mean,l2,3,12,3,0.500000,3712,0.964456,0.935517,0.028939
mean,l2,3,12,3,0.500000,3713,0.957803,0.944747,0.013056
mean,l2,3,12,3,0.500000,3714,0.949189,0.950934,0.001745
mean,l2,3,12,3,0.500000,3715,0.938341,0.946449,0.008108
mean,l2,3,12,3,0.500000,3716,0.924982,0.946681,0.021699
mean,l2,3,12,3,0.500000,3717,0.908840,0.937893,0.029053
mean,l2,3,12,3,0.500000,3718,0.889639,0.934890,0.045251
mean,l2,3,12,3,0.500000,3719,0.867107,0.948797,0.081690
mean,l2,3,12,3,0.500000,3720,0.841128,0.947328,0.106200
mean,l2,3,12,3,0.500000,3721,0.812232,0.945690,0.133458
mean,l2,3,12,3,0.500000,3722,0.781112,0.950980,0.169867
mean,l2,3,12,3,0.500000,3723,0.748458,0.900572,0.152114
mean,l2,3,12,3,0.500000,3724,0.714959,0.891376,0.176417
mean,l2,3,12,3,0.500000,3725,0.681308,0.876543,0.195235
mean,l2,3,12,3,0.500000,3726,0.648196,0.853086,0.204891
mean,l2,3,12,3,0.500000,3727,0.616312,0.803006,0.186695
mean,l2,3,12,3,0.500000,3728,0.586347,0.774404,0.188056
mean,l2,3,12,3,0.500000,3729,0.558994,0.744284,0.185290
mean,l2,3,12,3,0.500000,3730,0.534784,0.713272,0.178488
mean,l2,3,12,3,0.500000,3731,0.513617,0.681957,0.168340
mean,l2,3,12,3,0.500000,3732,0.495235,0.651446,0.156211
mean,l2,3,12,3,0.500000,3733,0.479379,0.621019,0.141640
mean,l2,3,12,3,0.500000,3734,0.465793,0.591606,0.125813
mean,l2,3,12,3,0.500000,3735,0.454217,0.563629,0.109413
mean,l2,3,12,3,0.500000,3736,0.444392,0.537511,0.093119
mean,l2,3,12,3,0.500000,3737,0.436062,0.513621,0.077559
mean,l2,3,12,3,0.500000,3738,0.428968,0.492081,0.063114
mean,l2,3,12,3,0.500000,3739,0.422851,0.472818,0.049967
mean,l2,3,12,3,0.500000,3740,0.417480,0.455719,0.038239
mean,l2,3,12,3,0.500000,3741,0.412733,0.440675,0.027942
mean,l2,3,12,3,0.500000,3742,0.408513,0.427571,0.019058
mean,l2,3,12,3,0.500000,3743,0.404723,0.416293,0.011571
mean,l2,3,12,3,0.500000,3744,0.401268,0.406728,0.005460
mean,l2,3,12,3,0.500000,3745,0.398051,0.398762,0.000710
mean,l2,3,12,3,0.500000,3746,0.394977,0.392279,0.002698
mean,l2,3,12,3,0.500000,3747,0.391949,0.387175,0.004774
mean,l2,3,12,3,0.500000,3748,0.388870,0.383351,0.005519
mean,l2,3,12,3,0.500000,3749,0.385646,0.380639,0.005007
mean,l2,3,12,3,0.500000,3750,0.382213,0.378847,0.003365
mean,l2,3,12,3,0.500000,3751,0.378644,0.377792,0.000852
mean,l2,3,12,3,0.500000,3752,0.375045,0.376188,0.001143
mean,l2,3,12,3,0.500000,3753,0.371524,0.376105,0.004581
mean,l2,3,12,3,0.500000,3754,0.368186,0.376250,0.008063
mean,l2,3,12,3,0.500000,3755,0.365139,0.376456,0.011317
mean,l2,3,12,3,0.500000,3756,0.362488,0.375751,0.013263
mean,l2,3,12,3,0.500000,3757,0.360340,0.365869,0.005529
mean,l2,3,12,3,0.500000,3758,0.358802,0.362531,0.003729
mean,l2,3,12,3,0.500000,3759,0.357980,0.359107,0.001127
mean,l2,3,12,3,0.500000,3760,0.358009,0.373040,0.015031
mean,l2,3,12,3,0.500000,3761,0.359132,0.357193,0.001939
mean,l2,3,12,3,0.500000,3762,0.361624,0.354960,0.006663
mean,l2,3,12,3,0.500000,3763,0.365754,0.374999,0.009244
mean,l2,3,12,3,0.500000,3764,0.371797,0.375711,0.003914
mean,l2,3,12,3,0.500000,3765,0.380025,0.381214,0.001189
mean,l2,3,12,3,0.500000,3766,0.390709,0.365868,0.024842
mean,l2,3,12,3,0.500000,3767,0.404123,0.375018,0.029106
mean,l2,3,12,3,0.500000,3768,0.420539,0.378421,0.042118
mean,l2,3,12,3,0.500000,3769,0.440228,0.391091,0.049137
mean,l2,3,12,3,0.500000,3770,0.463328,0.425291,0.038037
mean,l2,3,12,3,0.500000,3771,0.489429,0.528176,0.038747
mean,l2,3,12,3,0.500000,3772,0.517988,0.551920,0.033932
mean,l2,3,12,3,0.500000,3773,0.548458,0.713133,0.164675
mean,l2,3,12,3,0.500000,3774,0.580296,0.730267,0.149971
mean,l2,3,12,3,0.500000,3775,0.612957,0.755007,0.142050
mean,l2,3,12,3,0.500000,3776,0.645895,0.778896,0.133001
mean,l2,3,12,3,0.500000,3777,0.678567,0.788968,0.110401
mean,l2,3,12,3,0.500000,3778,0.710427,0.811801,0.101374
mean,l2,3,12,3,0.500000,3779,0.740931,0.833137,0.092205
mean,l2,3,12,3,0.500000,3780,0.769623,0.852745,0.083122
mean,l2,3,12,3,0.500000,3781,0.796406,0.866681,0.070274
mean,l2,3,12,3,0.500000,3782,0.821272,0.883450,0.062178
mean,l2,3,12,3,0.500000,3783,0.844213,0.904029,0.059816
mean,l2,3,12,3,0.500000,3784,0.865220,0.917449,0.052230
mean,l2,3,12,3,0.500000,3785,0.884285,0.914545,0.030260
mean,l2,3,12,3,0.500000,3786,0.901401,0.917129,0.015728
mean,l2,3,12,3,0.500000,3787,0.916559,0.930791,0.014232
mean,l2,3,12,3,0.500000,3788,0.929751,0.942657,0.012906
mean,l2,3,12,3,0.500000,3789,0.940969,0.948907,0.007938
mean,l2,3,12,3,0.500000,3790,0.950236,0.958720,0.008484
mean,l2,3,12,3,0.500000,3791,0.957699,0.964460,0.006760
mean,l2,3,12,3,0.500000,3792,0.963538,0.968737,0.005199
mean,l2,3,12,3,0.500000,3793,0.967929,0.971762,0.003833
mean,l2,3,12,3,0.500000,3794,0.971052,0.973745,0.002693
mean,l2,3,12,3,0.500000,3795,0.973085,0.975959,0.002874
mean,l2,3,12,3,0.500000,3796,0.974206,0.976314,0.002108
mean,l2,3,12,3,0.500000,3797,0.974594,0.975495,0.000901
mean,l2,3,12,3,0.500000,3798,0.974427,0.975253,0.000826
mean,l2,3,12,3,0.500000,3799,0.973884,0.974777,0.000893
mean,l2,3,12,3,0.500000,3800,0.973121,0.974123,0.001002
mean,l2,3,12,3,0.500000,3801,0.972203,0.975535,0.003331
mean,l2,3,12,3,0.500000,3802,0.971177,0.975000,0.003823
mean,l2,3,12,3,0.500000,3803,0.970086,0.974679,0.004593
mean,l2,3,12,3,0.500000,3804,0.968975,0.974066,0.005091
mean,l2,3,12,3,0.500000,3805,0.967887,0.973512,0.005625
mean,l2,3,12,3,0.500000,3806,0.966868,0.973406,0.006538
mean,l2,3,12,3,0.500000,3807,0.965962,0.973088,0.007126
mean,l2,3,12,3,0.500000,3808,0.965213,0.972980,0.007767
mean,l2,3,12,3,0.500000,3809,0.964666,0.973084,0.008418
mean,l2,3,12,3,0.500000,3810,0.964356,0.973224,0.008868
mean,l2,3,12,3,0.500000,3811,0.964286,0.973568,0.009282
mean,l2,3,12,3,0.500000,3812,0.964448,0.973951,0.009503
mean,l2,3,12,3,0.500000,3813,0.964835,0.974300,0.009465
mean,l2,3,12,3,0.500000,3814,0.965441,0.974544,0.009103
mean,l2,3,12,3,0.500000,3815,0.966259,0.974609,0.008350
mean,l2,3,12,3,0.500000,3816,0.967282,0.974424,0.007142
mean,l2,3,12,3,0.500000,3817,0.968503,0.973916,0.005413
mean,l2,3,12,3,0.500000,3818,0.969915,0.972194,0.002279
mean,l2,3,12,3,0.500000,3819,0.971512,0.970498,0.001014
mean,l2,3,12,3,0.500000,3820,0.973265,0.968043,0.005222
mean,l2,3,12,3,0.500000,3821,0.975067,0.971498,0.003569
mean,l2,3,12,3,0.500000,3822,0.976786,0.962511,0.014275
mean,l2,3,12,3,0.500000,3823,0.978292,0.957124,0.021169
mean,l2,3,12,3,0.500000,3824,0.979457,0.965898,0.013559
mean,l2,3,12,3,0.500000,3825,0.980149,0.961764,0.018385
mean,l2,3,12,3,0.500000,3826,0.980238,0.956346,0.023892
mean,l2,3,12,3,0.500000,3827,0.979596,0.949477,0.030119
mean,l2,3,12,3,0.500000,3828,0.978091,0.940954,0.037137
mean,l2,3,12,3,0.500000,3829,0.975594,0.937940,0.037655
mean,l2,3,12,3,0.500000,3830,0.971947,0.926539,0.045408
mean,l2,3,12,3,0.500000,3831,0.966876,0.921245,0.045631
mean,l2,3,12,3,0.500000,3832,0.960082,0.861347,0.098735
mean,l2,3,12,3,0.500000,3833,0.951263,0.838155,0.113107
mean,l2,3,12,3,0.500000,3834,0.940118,0.822457,0.117660
mean,l2,3,12,3,0.500000,3835,0.926346,0.796214,0.130132
mean,l2,3,12,3,0.500000,3836,0.909647,0.758780,0.150867
mean,l2,3,12,3,0.500000,3837,0.889719,0.730093,0.159625
mean,l2,3,12,3,0.500000,3838,0.866261,0.700812,0.165449
mean,l2,3,12,3,0.500000,3839,0.838974,0.671313,0.167661
mean,l2,3,12,3,0.500000,3840,0.807749,0.642229,0.165520
mean,l2,3,12,3,0.500000,3841,0.773256,0.614170,0.159086
mean,l2,3,12,3,0.500000,3842,0.736357,0.587382,0.148975
mean,l2,3,12,3,0.500000,3843,0.697915,0.635948,0.061968
mean,l2,3,12,3,0.500000,3844,0.658793,0.605079,0.053714
